galaxy,R_kpc,V_obs_kms,V_bar_kms,V_pred_kms,Sigma_req,Sigma_pred,dSigma,need_Sigma_lt_1,f_bulge,f_bulge_r,f_disk_r,f_gas_r,R_d_kpc,R_over_Rd,g_bar_SI,Omega_bar_SI,tau_dyn_Myr,dlnVbar_dlnR,dlnGbar_dlnR,h_term,C_term,A_use,omega2,shear2,theta2,tidal2
CamB,0.16,1.99,3.2389581658304882,9.023751434557322,0.3774813289676241,7.761820057733676,-7.384338728766052,1,0.0,0.0,0.6702269120233347,0.32977308797666544,0.73,0.21917808219178084,2.1246860823071936e-12,6.559782416215344e-16,48.30661415796066,0.9509939864557402,0.9019879729114834,6.575908946928919,0.8769759926782535,1.17251960642002,7065.634611110581,1951.6794463480433,0.0,153.3721643835618
CamB,0.41,4.84,7.925783872904939,19.036853941981438,0.3729119257920294,5.7690712782127775,-5.3961593524207485,1,0.0,0.0,0.7138147395533609,0.28618526044663917,0.73,0.5616438356164384,4.964833314891802e-12,6.264154302597837e-16,50.586378117932746,0.7761598082128085,0.5523196164256134,4.180783222302669,0.9728727752601897,1.17251960642002,3764.2407561972373,169.1651720815672,0.0,203.7320404369455
CamB,0.57,6.79,10.03099695942532,23.23345285781374,0.45819606065936597,5.364624364284691,-4.906428303625326,1,0.0,0.0,0.6872210445344854,0.31277895546551465,0.73,0.7808219178082191,5.720281747791385e-12,5.702605404955783e-16,55.567737137293044,0.6874430393298709,0.3748860786597348,3.8660147811201955,0.9628602299689016,1.17251960642002,2990.0098981124884,193.15864673558625,0.0,187.47441095060265
CamB,0.73,8.87,11.830135248592892,24.92469596077655,0.5621701996611697,4.438950674817676,-3.8767804751565063,1,0.0,0.0,0.6725100945251985,0.3274899054748017,0.73,1.0,6.212417546320547e-12,5.251349554147716e-16,60.34275092009536,0.5564189967197173,0.11283799343942746,3.6918629799000744,0.7944384565419332,1.17251960642002,1215.0006428995046,614.2588746592085,0.0,72.47978370720256
CamB,0.9,10.9,13.034297065818317,21.50651455120202,0.699322926384799,2.7224808578879065,-2.0231579315031074,1,0.0,0.0,0.6446414182111202,0.35535858178887997,0.73,1.2328767123287672,6.116976308777993e-12,4.69298518968039e-16,67.52224124574113,0.37100312057847695,-0.25799375884304254,3.724030679262259,0.3944764130885212,1.17251960642002,289.3838584399905,882.6377184985068,0.0,28.821381351271192
CamB,1.06,12.9,13.688038573879021,20.143500771038784,0.888171799678057,2.165645953045222,-1.277474153367165,1,0.0,0.0,0.6198084567661388,0.3801915432338611,0.73,1.452054794520548,5.727705156580541e-12,4.1844601223660783e-16,75.72801959482196,0.15289022847197842,-0.6942195430560361,3.8632267261535436,0.2573335135524042,1.17251960642002,121.77059472809832,684.218339538022,0.0,93.16789778320948
CamB,1.22,14.7,13.740656825639741,15.312973061836292,1.1445102410865353,1.2419498250848104,-0.09743958399827513,0,0.0,0.0,0.6046220015131963,0.39537799848680377,0.73,1.6712328767123288,5.014864857686219e-12,3.649654395216828e-16,86.82490006604131,0.033050190499660737,-0.9338996190006768,4.157815283492025,0.04962951231439109,1.17251960642002,18.619666501168986,685.6182489925772,0.0,137.3957325688659
CamB,1.47,16.8,13.845266339077773,16.672543564360684,1.4723665224417994,1.4501104843801278,0.022256038061671646,0,0.0,0.0,0.6594192540719094,0.3405807459280906,0.73,2.0136986301369864,4.22560962168406e-12,3.0520247990877766e-16,103.8264427716978,-0.21067510361615938,-1.4213502072323223,4.565171179633154,0.08408953455611567,1.17251960642002,29.710314228070995,620.5580007617692,0.0,133.23398220603923
CamB,1.79,20.1,12.605639610904321,19.387528878661033,2.5425080780845315,2.365457459328999,0.17705061875553252,0,0.0,0.0,0.6995125616613747,0.3004874383386253,0.73,2.452054794520548,2.87660890596205e-12,2.2820015443513725e-16,138.86093939097597,-0.47625061474512015,-1.95250122949025,5.608505139578513,0.20763996095721451,1.17251960642002,46.91816156367199,335.97765981533126,0.0,110.47311320754714
D564-8,0.51,8.54,5.680290485529768,15.850779424203026,2.2603445764387557,7.786820318627458,-5.526475742188703,0,0.0,0.0,0.6268204316038395,0.3731795683961606,1.53,0.3333333333333333,2.0500997547431156e-12,3.6091459758363305e-16,87.79940746698675,0.5152119052632543,0.030423810526506057,6.699555011846847,0.8639732181987116,1.17251960642002,1068.5460428204794,333.17990569349087,0.0,16.40539215686275
